,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3208
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,584
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1500
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7444
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16020
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13236
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5176
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3096
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2788
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4540
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6408
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1036
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1068
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,792
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1392
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1520
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1904
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18580
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4960
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1200
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4964
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,724
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4768
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5584
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7340
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1208
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3180
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2372
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2136
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,-1720
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5728
